serial,B1,I1,N1,G1,O1,B2,I2,N2,G2,O2,B3,I3,N3,G3,O3,B4,I4,N4,G4,O4,B5,I5,N5,G5,O5,firma
1791,15,27,36,55,70,5,24,31,48,71,8,28,LIBRE,53,67,4,18,41,60,64,7,29,45,50,65,75db29e7c4652024c287e7ee98c92d8ea004f6cd2cf07be7a2a8baaff3a4493b
1792,15,26,39,47,65,4,20,31,54,74,10,24,LIBRE,46,69,5,22,38,51,70,13,16,35,59,71,5d8df5c4a499764cff70654203b76d0cf3715cfac75fd84972af03ccd7c3b0ca
1793,3,19,39,57,69,7,18,35,60,62,10,26,LIBRE,52,61,2,21,38,51,72,14,24,40,49,65,fe2b832a242144e1815013f34713d591b054e9db635efdb8f83daa5c1fcbb71f
1794,1,22,36,59,65,3,23,34,47,71,6,20,LIBRE,48,75,13,19,37,46,72,10,25,39,58,64,a3275935410b9c6492a3cf4e3e8ddfef4b831447f31c04ad60e0b5fe5bda76ae
1795,4,17,32,46,61,15,28,35,56,64,3,27,LIBRE,51,75,14,16,44,50,69,10,21,37,53,63,69b207892a64a282cd93046e55b37728203c6e306ffc8a68392f0a63b7cfce5c
1796,10,21,35,58,62,14,23,45,48,64,13,27,LIBRE,54,67,2,20,36,46,71,9,17,33,49,63,5c7540538d74b585db0afb752329f66575567ff12903f7c37aa6085a3cf87605
1797,11,22,43,58,66,5,29,33,54,63,8,26,LIBRE,48,61,1,20,38,60,62,4,24,35,59,64,3e1298997a259f92e7cd5925a59a44e97d8a93fc21ffb47c705622d6f841b4d2
1798,12,24,32,60,61,8,18,37,47,68,9,26,LIBRE,57,74,3,20,40,59,70,4,28,34,58,75,b16098de44ac55a85f0bca78277b2d57ec19da29b24228c2f2dcbca24417d0c1
1799,8,19,44,57,71,11,20,45,58,69,15,22,LIBRE,51,66,9,18,32,56,68,3,16,34,60,63,813b76262fc15f300f45cf00c2213ddd089c210025fcf15e7bab786ffc628014
1800,1,27,33,56,68,6,25,36,46,70,9,16,LIBRE,47,61,14,24,34,50,74,15,29,41,49,62,440a0b4695945d1d6149074a4ad6c820420520dec8c7e882a943f812827c0936
1801,8,18,31,54,71,14,21,35,48,70,12,23,LIBRE,52,73,7,22,37,51,62,6,19,40,60,66,6e04488b47fe10dc4d9c88dee63fe64cc1bae67dba36f70a51221706371a297e
1802,11,29,37,55,75,13,16,34,56,61,2,22,LIBRE,49,64,10,26,38,47,62,5,23,45,46,71,0a1340fe39fb99efa4c22e2a02ac0986feead235102e55dead4d057eca089c18
1803,5,23,38,47,63,14,22,36,59,61,15,20,LIBRE,49,73,4,29,32,51,70,7,24,34,55,74,ac72be041c63d6ec1bdbb97b11182698c6ec0d0631b032696dc8212e62b202e2
1804,4,29,43,60,70,3,22,39,49,68,5,30,LIBRE,56,73,15,28,40,52,64,7,24,44,55,62,fe85bb85f852e7b8a70a820172a7ae3ee29b76e8e7646e6847059300ffb8a572
1805,10,18,43,53,72,2,24,37,49,74,15,20,LIBRE,57,75,12,17,45,54,64,11,25,36,51,63,757a63bf6ae5a520e2fc6632ae3d19224658aa6e1f82d64133091bd506ae242a
1806,4,20,31,48,70,2,25,44,57,69,15,19,LIBRE,50,68,13,22,33,47,65,10,16,40,52,73,05bd7295c9a9702870561ff5e9a337d318ea3b0542dd0eb229b9d0fa584f1dc6
1807,6,16,43,57,65,8,25,34,58,73,14,20,LIBRE,49,64,12,21,36,48,62,15,19,32,54,61,8965437dc49a19ba9f60524d9c91132912024c33df33cb6785f4b8e6cb538e86
1808,6,27,38,59,74,2,29,33,58,65,1,23,LIBRE,57,68,7,24,31,60,73,14,18,34,46,64,5ea7022c57772b7008992e4b720bac1c512628dc57767ce353bd96965c6f599c
1809,13,30,34,58,64,9,19,37,52,70,10,22,LIBRE,48,66,1,16,45,47,69,12,21,35,60,72,98db0e770548bb44b31ac3d3c37ec14e59a68b4b1c8c9cc3ef0c15a9f44a7893
1810,9,28,43,55,63,10,21,36,60,75,2,17,LIBRE,56,64,15,18,40,49,70,6,24,32,57,68,64bccbb5745bb411388ef6f24e37d949d88484712ae4356258106e014d78a140
1811,12,23,40,54,64,5,18,42,55,73,11,26,LIBRE,46,72,13,16,38,59,63,6,24,36,48,75,2f74b4030a7a1b98748b4e60fcec0eab1952d3edca6533a19ed50b619a66eded
1812,8,20,44,56,67,11,27,34,47,71,13,16,LIBRE,54,69,15,24,32,48,62,12,18,38,49,63,daa49206a7ef56080f74bde021a08f03f188b735a8170be5d7cd4e0faf521e59
1813,2,29,42,58,63,11,30,45,47,67,12,20,LIBRE,52,75,4,18,39,50,64,13,21,36,59,70,cc5c77e3105d273762833e8f80885b35a80815d063a44ea57db52068d1f88eaa
1814,4,22,34,60,67,1,28,33,57,68,7,16,LIBRE,58,61,9,19,39,48,62,6,23,43,55,63,94c9a26864dbeb816a8a08d2f4339c3c7148e64655266ed7a696d8ddf805ccfc
1815,15,26,42,46,74,14,17,44,53,63,11,28,LIBRE,60,71,4,18,34,49,70,5,29,39,51,65,acadff07baa994e6f9134075125959b099bba319be95835595f75410aa76cfea
1816,3,30,44,53,68,9,18,32,48,74,5,16,LIBRE,46,66,6,23,42,56,70,8,19,35,52,67,370eb73bf4974618da5071e9ba3a73a0a4131afccad5ecb7cea0767de1ddca26
1817,2,23,44,58,70,10,27,41,46,73,11,26,LIBRE,50,62,13,19,45,57,72,5,21,40,49,74,4979a5651c4a2b983177e4a0f14da614e5516d93b5eb00e3cd0fc0b8c80c9631
1818,5,27,41,46,66,3,26,45,54,65,13,29,LIBRE,57,73,11,24,38,47,68,15,25,42,59,74,45e108e4ef5c701e24bce0db659c170b14231aa4fac8132f302c7d22efe7bafa
1819,2,23,44,49,74,15,20,32,57,73,8,18,LIBRE,47,71,10,21,40,58,64,9,16,34,52,68,7b125835cb3abe9adca765f6e4036c6b5292a45d08473cb74fd28a2eb550f1ca
1820,8,27,37,53,74,12,23,38,50,63,7,17,LIBRE,52,69,15,25,33,57,61,5,20,31,54,73,fde58e062b39692e208760bebd4fdbae010040efc5283f3905bf34aa24ddf8df
1821,8,19,44,52,70,7,21,41,50,64,12,26,LIBRE,47,71,11,29,32,49,73,1,27,35,56,61,ddfcef134c6c951fafac2b677b9bc98cae3670f0d3f79d55438a1740f3066d1d
1822,13,25,38,56,62,2,18,44,54,63,14,20,LIBRE,47,64,1,17,40,50,66,6,16,39,57,68,537f8e3e93f304ea491a4e92afa9bff3f1db4bf4790e28e5979c189838a84925
1823,5,16,41,50,68,15,22,45,59,66,3,27,LIBRE,58,73,4,17,43,55,69,8,18,39,54,75,18729dabf1f85807bec4df237e8f836198ca371a1d29cd258c7cf694c3c59190
1824,9,21,42,49,62,13,16,41,48,63,2,27,LIBRE,53,74,8,20,33,59,71,7,29,38,56,66,7ea60ada91a3c886943cde32336823883664d4a0e50ef8baecf60d9b0f9b2c88
1825,11,19,42,51,64,12,17,45,58,68,7,23,LIBRE,53,63,3,22,38,46,67,4,30,43,54,69,66416317ea208a98d4ad08538471b44aa989abd63a8afca2ba3810b9abc17786
1826,6,18,44,54,71,14,19,33,57,67,12,16,LIBRE,53,66,3,25,32,59,73,8,17,41,51,69,955b8dc03809882c8ca72feeb70503f259d9a8bec044211902ced897f2255465
1827,1,25,39,55,67,12,28,38,50,62,6,30,LIBRE,54,69,7,17,36,57,72,9,22,42,60,63,f367d1d3a6b7bd5fe4ff7e76d08d1366e177ea9e4ce731bfd13561d21270267e
1828,5,23,39,59,71,10,30,36,55,62,4,22,LIBRE,54,61,12,28,45,56,70,2,26,32,51,75,8730ee8e6d6c8a01c045cc169ded378a93597fb13c40ebb062896387bba7e724
1829,14,21,31,53,64,12,29,39,52,70,6,20,LIBRE,47,68,3,24,41,55,62,4,19,44,48,72,b85b2f67927ef03bb218e2e01f1f96dbd5e8053e8291c289ac19afc47f97500c
1830,14,29,45,52,63,3,28,40,59,66,10,30,LIBRE,56,74,6,27,39,50,65,11,26,41,47,61,cc5e5a161613fc199b7ea2f5e06c5e309ec3d1122acc601a93f9d6bdd1f32009
1831,12,30,43,48,61,10,21,44,59,75,8,28,LIBRE,60,64,7,17,39,55,66,13,27,38,50,72,b4a23fdf056fb787dd5645de98704f52e2801abc5e894e9470e353a90de1f00a
1832,13,29,41,47,68,4,18,39,46,74,6,17,LIBRE,48,62,12,30,40,59,75,9,26,44,49,73,ee53b241969084cff3bc326dfb2c10c53ee8c171ebc583f2d2b3c71af6acb783
1833,10,23,42,48,70,11,25,41,60,75,1,29,LIBRE,58,65,12,18,32,49,64,13,24,31,53,62,cf183abe76ff7bc9a655c3e348da2f59dc456b2029354236e108510ca14d3d9a
1834,2,18,42,49,72,14,28,36,53,66,6,27,LIBRE,56,69,13,30,43,59,68,8,16,39,47,61,cf9a9a07b0b28648363d358fe09983266f662817b6b6d6a808e552192335f0b3
1835,2,20,31,53,73,12,25,39,60,74,3,29,LIBRE,58,67,14,24,32,47,63,4,21,37,51,70,044fcaad1f51e2da4db56d244baccb9758d294d91fefe28cbde66c695a7d477d
1836,7,24,41,48,65,5,27,40,49,64,8,16,LIBRE,58,61,11,22,43,56,63,1,19,45,57,71,324d4728ab2aa6a50f881d543dcfb5ae1929e578625cb50cafa5efb7f4c1f84b
1837,1,17,39,54,62,6,19,38,47,61,3,29,LIBRE,58,66,13,27,34,59,63,8,20,40,52,68,52f12c493d6af87f39c9f3a922a45ab11c13d951ee73bbfe9f81529a8afdf542
1838,14,29,44,56,71,13,20,41,48,69,4,24,LIBRE,47,73,5,25,33,52,74,7,26,34,51,61,806857e44ab72965e4efbeb4f1d2e972483d869913e652c714c97b369c6f530c
1839,13,23,42,53,67,1,28,33,59,72,12,21,LIBRE,51,74,3,19,39,54,63,6,26,35,52,62,e29b5289536a9b9f8826e2086bb1bb8998e88158542a7b5fe8cbb5105a7c724a
1840,8,17,36,48,63,2,28,34,57,64,13,25,LIBRE,56,65,1,20,44,60,67,9,19,33,47,70,27f69d9e51491dbe8cccb6b0359eb923e3f51e81aace67d04cab25f820bfa42b
1841,1,25,31,52,69,8,22,37,47,61,15,18,LIBRE,59,62,7,16,35,60,64,13,23,32,57,66,230e87299f07c9e8e676aec463cbb52713dd9d5060ad4af9aedcec4176eea0da
1842,12,22,43,46,72,11,27,42,53,70,2,29,LIBRE,52,75,4,23,33,59,63,9,28,41,47,71,e2a08bbf355471035a6bcc81f05d6c4b57cffc57cbb347e1048aabe3e7cc63b7
1843,12,25,40,59,61,1,18,38,46,64,7,21,LIBRE,50,75,15,28,31,58,63,11,24,45,55,71,d407503f08f4c0521d7e53295cb0c7d8b72a057f12fca93101001c539f8bf8d3
1844,2,19,38,46,75,3,17,45,48,74,5,27,LIBRE,53,66,4,22,34,58,65,15,26,36,55,73,3bb01dd496b2e1bfd098cb10aa8cdfd49c02f5ab3330ca70e8ca30b7a53873aa
1845,5,27,43,47,72,11,20,39,58,70,13,23,LIBRE,50,67,15,30,42,57,73,4,28,44,60,69,9703ad3351dadea3d4a29709dcc8aaad635a88364c24e421e91955ad6685a856
1846,9,30,35,54,71,10,29,39,58,74,4,26,LIBRE,60,68,13,23,41,47,62,2,17,33,59,65,f4d2e77325d361babf735de6758339cc82aca135bb958142cec20d7e8fd12db4
1847,6,22,37,54,72,1,20,40,51,62,3,18,LIBRE,56,65,8,16,39,58,61,4,27,44,50,71,22fce35e22a6c4192842a7155b6213535c309b93bae61f2b023242c80f71054c
1848,6,28,43,54,66,3,16,42,50,65,1,25,LIBRE,47,68,2,18,36,48,62,4,22,45,58,70,f64d2028c67a57cef87108b9b3adf04bd57de263604d3adad2e1fe2dd68ffa9d
1849,4,22,31,55,67,7,26,44,57,69,1,18,LIBRE,51,68,9,19,33,60,71,6,28,41,47,74,d77190f8b25001dd66cc9827111e326d828c7fe869e1636eac6e3c573edfd5a2
1850,10,18,34,51,62,6,22,31,58,75,1,28,LIBRE,52,63,14,19,33,49,70,3,25,36,48,74,4ec5972d0d9059287522651b3f4d194e9d89ca7aa1abfe619b55726b513c445d
1851,14,30,43,57,74,3,27,31,55,73,2,19,LIBRE,49,70,4,21,39,48,67,9,17,44,53,69,266ef42efb3ab3bf67a2d73d0779ac7ca1e9074874ca65822205d55598e654bf
1852,12,17,45,50,72,8,26,41,58,66,5,23,LIBRE,53,64,11,20,35,52,73,3,27,34,48,68,9633c2a8ff215bda50f586dbcd351c2e174ab97fbd7c77932e2d381823faa08b
1853,11,16,45,47,73,6,17,40,59,61,8,30,LIBRE,53,64,1,20,38,57,71,14,23,31,56,69,30c857005e91475e919574e00a75fa018c44502a52c9935e48279ced7a1ecf59
1854,1,28,34,49,66,12,24,38,58,69,2,25,LIBRE,53,68,6,26,42,56,65,10,30,36,59,74,5f786dd7cc68dc04ea389accdd801b9c7ec81d9bea559c0fd3e27885ca4aa902
1855,5,18,45,53,64,13,21,41,57,70,7,28,LIBRE,54,66,9,24,40,55,61,15,19,37,60,71,3b82708fce330403897b1ac6c87436f0d0067c007b3afa1e9a0d70ef4b7aad2f
1856,15,25,41,57,68,3,23,38,58,73,7,19,LIBRE,56,64,8,20,33,55,63,4,27,43,49,74,25e59103acc932e76ac34c09f664750ea9238941b8d7cab4a14411fa256a4e1b
1857,1,30,39,49,70,2,21,34,55,61,5,17,LIBRE,47,74,8,25,42,59,72,11,19,36,51,65,79178c2cc4034b0a224f296e8780495e45cecc4d96371dee0d499b95f7a9c9f4
1858,11,24,34,59,64,14,23,37,56,62,9,30,LIBRE,55,72,8,25,43,54,66,4,21,31,58,68,7e2815461604793483b09e5a0c6f2a230fc6aead69828bb6ca4033067c10905c
1859,11,19,36,50,68,7,30,33,46,73,14,25,LIBRE,54,65,15,18,31,56,72,3,26,42,58,67,0b3a79cc442555b3f3f8428d7f723ee9fb20c8489028b5d564cf3b23913d8c75
1860,4,21,33,46,61,9,24,41,59,75,11,16,LIBRE,54,71,13,25,45,50,74,14,26,44,48,68,efee2fbe20d2c5ba1245916b52747221f582e55b4739a11e47e8ff9312df1f3c
1861,2,20,34,49,75,12,27,33,59,66,10,21,LIBRE,54,68,13,16,41,52,64,14,17,36,51,65,1383fb1a9c71510be4713c837c2d3f9b6eb3ba05a5f393017e90b214d2ffad53
1862,6,20,32,59,75,14,28,39,52,64,4,27,LIBRE,57,73,11,25,40,47,65,2,23,37,60,66,bd3b827414922c7dee7dff42373f5dbd7e6634c7374f4a797e50fe49de8dbba5
1863,12,29,33,58,62,15,22,41,51,75,7,24,LIBRE,52,65,8,26,44,55,73,11,30,40,57,67,90bb0dee1b44491fd45b2cccd9d0dff9b02b1b93a6469ff199ccb4ded45513ad
1864,10,23,31,49,70,3,22,35,57,64,9,21,LIBRE,56,62,11,17,34,52,68,15,19,33,58,75,47ff499a9daafe4c87f21a36bc77d96df00f3c69496f4b1e0b73d15da16eceeb
1865,13,25,44,60,66,6,22,37,59,72,15,30,LIBRE,58,68,9,21,31,51,75,2,20,35,47,67,5fb3163f20c911306a295e7cd8865ace4c917838d5ade0e295422f3e443d1ab9
1866,14,26,38,49,61,9,30,44,59,69,8,16,LIBRE,52,71,6,22,32,51,65,3,19,33,55,74,4a75a503eb7fafc70929ea352cdda5c269899166e6dc00aa0b6249107f19963c
1867,11,19,32,60,73,8,30,37,59,62,5,25,LIBRE,46,64,9,28,42,50,71,15,17,36,47,70,485e0e0fe9b4e5f59a660efa21c8310f2ad0d430168e39d69f10caaef1d6849e
1868,2,19,36,49,62,5,25,43,60,75,1,24,LIBRE,50,65,6,17,31,57,71,14,27,39,46,72,3956dbb41e497383ee2331788890999ee47d91a5be82006da95faf62fb065c1e
1869,4,25,32,50,63,6,27,45,54,74,10,30,LIBRE,58,71,1,23,35,55,69,3,22,43,46,62,369a6b817f8383216492eea2d0aa6f4bd0259f0db76a87d90091b8308a20df7a
1870,12,29,33,46,75,4,30,31,54,68,6,16,LIBRE,55,62,1,27,32,58,71,14,24,43,47,61,7ff982564837405835082b0015f492cca58be0252bd4105e17095f35364f5d59
1871,6,28,33,46,65,3,16,43,59,61,12,21,LIBRE,49,62,11,27,32,53,73,15,17,42,54,67,c4937cde6d052266c233508cd182e69e705fb404a1cac57c3446504033d2bcf3
1872,4,27,37,52,65,12,16,41,50,64,10,22,LIBRE,56,63,6,20,45,51,67,5,21,36,57,74,001f455ba5bad5b4114d5d945dd3667789aa3b07ac5920458e907fae202b473a
1873,12,19,38,52,64,4,26,37,50,63,5,29,LIBRE,58,67,6,22,33,48,71,8,20,41,51,74,aa2434edacb634ff40c699bfc3c79a56b3e184cae9686fd17e67afe178273539
1874,7,22,43,46,70,5,27,37,56,61,4,24,LIBRE,54,65,15,18,41,52,63,2,16,45,60,68,890da872fd34db5082ce78fe7fadb1b0f67d5b329b4657aa16c528d5906c5be8
1875,15,26,34,50,71,9,30,44,49,73,3,24,LIBRE,54,61,12,23,38,56,65,5,21,31,46,62,9fd5345e793adb9dce5afa254bcd8ace98b9aa2e7a7631736ab24b3bf8f04017
1876,1,19,42,47,66,15,23,37,60,61,7,16,LIBRE,49,63,5,18,44,53,73,3,26,33,54,65,0bcea5a145c4ccb410769b3b5a3a5c4e761c72c8243d96d297825d4fb9d8ed04
1877,7,29,44,59,63,11,28,37,58,75,13,17,LIBRE,46,74,4,30,32,52,70,3,19,36,47,69,ace1330b2dfb9a6a31e0018c3ea6f59b417dd1bccc1429c9cf966b63886ec687
1878,2,17,44,58,75,13,22,42,53,71,1,23,LIBRE,59,68,4,30,37,56,61,14,16,34,55,72,143f0ab63caddf6dea469260aca4b0d56be3d156b69919f5b24e3cb9af956fb3
1879,12,26,38,50,74,10,30,41,47,73,6,17,LIBRE,54,64,8,28,33,51,70,2,21,45,57,68,11275b3f4ab92cd33d6fd81163c48520db2e51be4e465250b61de619391270f4
1880,5,30,41,51,68,1,17,44,49,61,3,18,LIBRE,48,74,10,24,36,59,71,6,20,31,55,62,edd7ea53121c1c27e5d6fac62f849213534201ba7e7d6a7f01b35dce51a65e31
1881,12,29,35,59,69,5,19,38,47,74,13,28,LIBRE,54,61,1,25,31,57,70,6,27,41,55,75,e6d36ee599846f722e637a592d9d8d009733d50852fc129bc35131ea2f0a95a0
1882,15,26,32,58,63,1,30,42,47,62,7,24,LIBRE,51,70,8,22,44,60,64,2,25,41,54,68,7271917d633bfb5708a5ebce7cd580cb2fb5a6d99641bc7f937ddc08c5b5e88b
1883,11,16,43,59,64,7,29,33,46,70,9,19,LIBRE,55,75,13,26,36,52,66,5,27,39,49,74,fbd32c3e90565e567c284267278c3d7ee4ad2307b2beeb2eb49cea212b56ccee
1884,1,29,41,57,74,3,20,45,51,73,8,26,LIBRE,54,69,7,30,38,53,68,6,28,34,46,72,a4230ba0b9934682989a75c125277deec9fe1d6868076f28894d2d0b6320f209
1885,2,23,33,57,71,8,24,38,53,62,9,17,LIBRE,48,67,13,29,32,56,64,7,27,42,55,65,14537c33e9747c988636a682d56c4578bf1a5adf990c61658c95d12cf6f22744
1886,13,20,32,52,66,15,19,38,53,64,3,22,LIBRE,59,69,5,25,33,60,71,10,24,36,50,70,a820854528416caf6559c66a6c85180e208d0f97b039469fc56ed886e9943d76
1887,3,28,34,53,69,4,19,36,46,61,7,17,LIBRE,51,74,2,16,41,54,64,8,29,38,58,71,ca369916f475f2c4530e3989797dbcf93ea572de85a6de137d2f343f7a275dd5
1888,6,17,42,47,75,13,20,41,50,62,1,24,LIBRE,55,72,8,23,32,48,70,9,29,43,51,61,63764e8e79cf970ea07e89aa139986ddf32d7f460211c1a57a16898457a30eeb
1889,7,30,43,47,65,3,25,34,60,61,5,29,LIBRE,51,69,6,26,38,52,68,11,28,36,59,63,9143cf9c050c18399e641c78e33634f233188a26c28fdd24a1e361dbf350a309
1890,15,23,31,51,71,11,21,40,54,68,2,18,LIBRE,59,74,8,27,43,58,64,6,19,44,48,61,0739b0e6a6d6b02635475815283b47d53c012e8744582fccd82f871373e29566
1891,9,20,38,52,71,4,17,41,59,73,11,19,LIBRE,49,63,8,16,36,47,70,14,18,33,58,69,8b8fd985d95e078d8b02c447b5fc0bce695a991fb726fe6d587efbae4dcec289
1892,6,29,38,60,75,15,27,45,53,71,10,20,LIBRE,55,72,7,17,40,56,63,11,26,34,54,62,7718b2197ffece855598537150f064b68c8d71226beb4e05acff873791b75bb8
1893,6,30,43,49,68,5,25,37,55,65,10,27,LIBRE,58,74,1,29,32,46,66,7,22,31,50,63,deff7b35270b68d534984ac497a6184d7943b79bdb23731388d1cc48a6e4c93c
1894,4,30,38,54,64,8,18,33,55,62,9,19,LIBRE,58,73,6,24,31,49,72,11,28,37,52,66,0c3ef95b47623e4f5a723dfb695dfd195a69e27d803cfffb66dbf5aadd3df2da
1895,5,24,36,54,63,7,25,40,57,66,10,29,LIBRE,48,70,11,16,35,46,74,15,26,42,52,65,9391912449cd5192d96fe1036162b121391cbb2ffacd6985b505478e550d7f0b
1896,12,27,43,53,69,10,21,38,51,71,2,28,LIBRE,50,74,13,23,37,58,62,1,19,41,49,64,dd96ab62581c6292682d38d9391fd034137fba5531b70f63756e22dbb89bb649
1897,5,21,44,57,62,3,16,38,56,69,13,26,LIBRE,48,73,8,24,41,47,74,4,28,31,58,70,1ba8fbffc40ab6c9556c7286aa4dcd873b9a41a06c608b4b5cdbca01f4f13d9b
1898,8,27,45,57,74,5,17,39,48,71,9,28,LIBRE,50,75,12,21,31,53,64,7,19,43,60,69,0cf999a325989ae4990a1766f28fa455e62d277bbdf754041ca0fc562e387fd8
1899,5,30,35,55,67,9,23,43,53,72,1,26,LIBRE,60,66,10,25,41,51,71,13,16,39,50,64,23bf5d213ce929a96d07afb471cc5bbf5fd82b98c15150a4fe0427427fa06b97
1900,4,30,42,57,66,5,29,37,59,75,11,21,LIBRE,50,73,12,28,41,56,65,8,23,44,47,71,3d3184d0ecc0d53a9d038b2efe20f48df9a3a533468dbf4041a3c3fb024eb045
1901,13,29,34,55,74,8,19,42,59,65,3,26,LIBRE,50,71,2,16,33,56,61,6,22,37,57,66,cc6afa3231d1221493f71ed3ef3bad615c4b3a85ea2446a74d5a5e751a955b35
1902,4,28,45,50,74,5,21,40,53,73,3,26,LIBRE,46,64,7,18,38,60,71,8,27,33,48,63,a856b2eacf097570244768f07b5c7375cf10083f70393a853841b6b1afa6ea2d
1903,1,20,35,50,61,9,21,36,56,73,8,25,LIBRE,53,67,4,28,32,49,68,14,27,37,46,74,39d64ed84b60a2f154f9545017b5c9e1cbb4e0431a06ea226af38ebe6c8ecb41
1904,14,18,45,53,70,10,16,34,51,69,6,25,LIBRE,49,72,1,21,41,60,66,13,20,35,58,73,279b0e8723bb339d766dcf7a5bde49ecec8b850bd856f2a7f820c9c8a15a4987
1905,5,27,37,46,61,8,21,42,55,62,12,23,LIBRE,50,71,15,22,45,49,63,10,20,43,52,69,db14153d27dd68b4147372b1a7a7084e83de8906622b17e70c45388cfd313899
1906,11,23,35,60,75,8,19,32,58,63,14,17,LIBRE,47,64,3,27,45,49,69,1,29,33,56,70,cf559d4156f760f04cdaf4b39c6918873a4015c8b5461a5b1bb20df75291bc4c
1907,4,18,39,47,67,13,23,38,53,62,2,24,LIBRE,56,69,10,28,41,52,66,14,25,34,50,72,8a36b69e1f6b1c00410ae81a83a8e3c3ba4253352f0f8d0a419b1d466d5bca40
1908,14,16,45,57,73,6,29,41,47,66,1,27,LIBRE,50,64,10,24,36,48,75,15,20,43,46,62,ac094e0d962775613b76492c0045a9754b6be534c3b9fc3d00558e2ce8ce3fee
1909,4,21,32,58,71,7,20,43,53,74,9,28,LIBRE,60,65,6,17,37,51,72,3,27,35,54,75,15c47967fc8a1a22b991fcebc9cda0cda7417d860e06ab618bbe698dcf08ba44
1910,5,21,32,59,67,7,19,38,53,70,14,18,LIBRE,49,74,4,28,43,52,64,12,26,42,48,61,3470d2e0251d8ab481e7aa47ef3afdf06fedb48de59ce79fb9327bb2ef602dc5
1911,5,21,35,46,67,13,26,43,57,69,2,29,LIBRE,59,72,11,27,38,60,63,14,22,41,52,66,a2f3453a612fddfbcee3b612f435e4f6c5993809e7db07585b61f38d135455a1
1912,10,29,40,52,72,5,28,45,49,74,8,22,LIBRE,58,66,12,26,33,51,65,6,17,38,50,64,fef1ec8e191165655aad2b7a512a6f3138d8e8d335b90f69f387271a68596223
1913,13,23,39,52,67,14,17,32,54,64,5,26,LIBRE,57,75,1,30,34,48,72,7,16,35,59,66,be86c64dfc09bf5b618723aafb0a4d359f67abacf6520a286e7f7a4e7e504f52
1914,12,24,31,57,64,11,25,41,46,75,10,27,LIBRE,55,72,14,18,33,47,73,9,21,45,50,70,d90045e8ac6e2673b010cdc4a12cffaf74b6af241e495ecabc804c8a9a2cb503
1915,8,22,41,54,63,10,18,43,46,75,13,27,LIBRE,56,67,7,21,40,53,66,9,20,44,58,62,b4b2e24d04f575c02b0b3a0c43c171b0c9fbfbddb61f5246a7ed8505afcbe1b4
1916,14,20,40,59,70,10,19,43,48,74,1,30,LIBRE,49,66,6,23,36,56,72,7,24,41,54,64,d44e618f9888b5888731636fc93025036ffbdd308a4b54165c45f0ad2716dbd3
1917,13,18,41,51,72,15,21,45,60,62,1,26,LIBRE,48,71,6,22,43,53,64,7,25,33,47,67,245aa3e4e4a532bfa2bbe798ec253d8b9a6aef789c6220b75d92eefbc366b70b
1918,6,24,31,60,68,3,20,38,52,71,2,19,LIBRE,57,61,12,17,39,55,66,14,16,35,58,72,6e781cb72c0a6edbd3b19d16b05ae6ebb25059b669a9fcf6fb0df9795dc8be65
1919,9,23,39,47,68,2,28,34,60,70,12,25,LIBRE,56,66,7,18,43,57,71,14,29,40,52,67,91029051d156a4a781b631214b6e03800b19a5242e00ca485463aa122dd46881
1920,12,26,41,50,72,6,24,45,55,61,11,19,LIBRE,60,67,14,16,32,54,74,13,29,37,57,70,6f3c635a545321f5696133c28af339c2c327795fa8046ff11222ecbcde27c45e
1921,7,21,31,60,73,5,22,34,56,65,3,30,LIBRE,57,70,1,17,35,52,64,6,19,33,50,72,656f50ace55efef6d05099f6757f50f98ed21b2335a1d5b5b11b4d56fc745194
1922,10,30,44,47,65,15,18,45,60,75,12,24,LIBRE,49,72,5,29,33,50,70,3,16,34,56,62,232c23ceb903993ed3da149198f5a4e7bde296cc7c503d9c5c41cd7c5fbb2aa9
1923,7,18,31,51,68,15,30,38,59,69,5,17,LIBRE,53,73,2,20,36,55,63,9,22,35,57,65,68f2383fbe2f5573473210720301731e81e1975d75e9b0d6122e084f3441cd40
1924,5,29,39,57,68,1,23,40,48,73,3,27,LIBRE,47,63,2,21,41,59,70,12,16,38,60,75,56d82b8f79c3e27f165a3a828ee74fb371b8de040c396913ed4fcc17857abe49
1925,11,28,45,47,72,13,22,37,51,71,6,18,LIBRE,53,62,4,24,36,46,68,9,17,35,59,63,5bd0051ddf3613329d920e31c9fbe98d41788f3d2c75cbac3931710aa31bb878
1926,15,16,41,59,74,6,24,40,52,71,3,23,LIBRE,51,62,10,28,39,46,66,9,29,37,60,72,db1eace2c054190a570c09e58877ba1e0011ac77a7066ec58c073740ef3364cd
1927,4,30,45,59,73,8,17,31,48,68,15,16,LIBRE,57,63,10,20,41,60,67,9,29,38,51,65,3e7c345664810196d5f5d6117517494945169606848773f6200da52fb6a15ead
1928,2,23,37,46,61,9,26,41,56,69,13,25,LIBRE,50,64,6,22,39,53,73,3,29,34,51,62,594c0c41016d27886bdda012c0c326e8fdcdd807059a48fce29aa52f7efd3581
1929,15,19,41,48,73,5,21,38,53,66,8,17,LIBRE,57,61,10,27,45,50,68,11,30,32,55,69,5c461bfef736d75408d8a527d5e1fb4e5a2f63a8c22c3cde02533cc6043e3238
1930,13,19,33,55,71,7,21,44,58,72,11,16,LIBRE,50,63,8,23,43,48,62,12,29,32,52,68,f184001b98619235633fd864f57bcc39c7849ca270f7dc07668fcba49103c009
